AUTHOR,TITLE,FORM,TYPE
"AERTSEN, Pieter",Market Scene,painting,genre
"AERTSEN, Pieter",Market Scene,painting,still-life
"AERTSEN, Pieter",Market Woman with Vegetable Stall,painting,still-life
"AERTSEN, Pieter",Butcher's Stall,painting,genre
"AERTSEN, Pieter",Peasants by the Hearth,painting,genre
"AERTSEN, Pieter",The Pancake Bakery,painting,genre
"AERTSEN, Pieter",Peasants Meal,painting,genre
"AERTSEN, Pieter",Peasant Feast,painting,genre
"AERTSEN, Pieter",Vanitas Still-Life,painting,still-life
"AERTSEN, Pieter",Triptych with the Adoration of the Magi (central panel),painting,religious
"AERTSEN, Pieter",Left wing of a Triptych with the Adoration of the Magi,painting,religious
"AERTSEN, Pieter",Left wing of a Triptych with the Adoration of the Magi (reverse side),painting,religious
"AERTSEN, Pieter",Vendor of Fowl,painting,genre
"AGABITI, Pietro Paolo",Virgin Enthroned between Sts John the Baptist and Anthony of Padua,painting,religious
"AGABITI, Pietro Paolo",Lunette and predella,painting,religious
"AGABITI, Pietro Paolo",Adoration of the Magi,painting,religious
"AGABITI, Pietro Paolo",Sts Sebastian and Roch,painting,religious
"AGABITI, Pietro Paolo",St Jerome in the Desert,painting,religious
"AGABITI, Pietro Paolo",Nativity,painting,religious
"AGABITI, Pietro Paolo",Nativity,painting,religious
"AGABITI, Pietro Paolo","Sacred Representation with Sts Francis, Anthony of Padua and Bernardino",painting,religious
"AGASSE, Jacques-Laurent",Study of Dogs,painting,other
"AGASSE, Jacques-Laurent",A Gentleman with Horses by a Stream,painting,other
"AGASSE, Jacques-Laurent",Portrait of a Horse,painting,other
"AGASSE, Jacques-Laurent",The Playground,painting,genre
"AGASSE, Jacques-Laurent",Two Terriers by a Mossy Bank,painting,other
"AGRESTI, Livio",Circumcision,painting,religious
"AGRESTI, Livio",Virgin and Child with St John the Baptist and a Musician Angel,painting,religious
"AIVAZOVSKY, Ivan Konstantinovich",The Ninth Wave,painting,landscape
"AIVAZOVSKY, Ivan Konstantinovich",Ship in the Stormy Sea,painting,landscape
"AKEN, Joseph van",The Van Aken Brothers,painting,portrait
"AKEN, Joseph van",A Sporting Conversation Piece,painting,genre
"AKEN, Joseph van",A Vegetable Seller and his Son,painting,genre
"AKEN, Joseph van",Vegetable and Fruit Market,painting,genre
"AKOTANTOS, Angelos",The Virgin Cardiotissa,painting,religious
"AKOTANTOS, Angelos",The Congregation of the Archangels,painting,religious
"ALBA, Macrino d'",Figure of a Saint,painting,religious
"ALBANI, Francesco",Spring (Venus at her Toilet),painting,mythological
"ALBANI, Francesco",Spring (detail),painting,mythological
"ALBANI, Francesco",Summer (Venus in Vulcan's Forge),painting,mythological
"ALBANI, Francesco",Autumn (Venus and Adonis),painting,mythological
"ALBANI, Francesco",Winter (The Triumph of Diana),painting,mythological
"ALBANI, Francesco",The Four Elements: Water,painting,mythological
"ALBANI, Francesco",The Four Elements: Water (detail),painting,mythological
"ALBANI, Francesco",The Four Elements: Earth,painting,mythological
"ALBANI, Francesco",The Four Elements: Earth (detail),painting,mythological
"ALBANI, Francesco",The Four Elements: Fire,painting,mythological
"ALBANI, Francesco",The Four Elements: Fire (detail),painting,mythological
"ALBANI, Francesco",The Four Elements: Air,painting,mythological
"ALBANI, Francesco",The Four Elements: Air (detail),painting,mythological
"ALBANI, Francesco",Ceiling vault of piano nobile loggia,painting,mythological
"ALBANI, Francesco",Ceiling painting,painting,mythological
"ALBANI, Francesco",Adonis Led by Cupids to Venus (detail),painting,mythological
"ALBANI, Francesco",The Annunciation,painting,religious
"ALBANI, Francesco",Diana and Actaeon,painting,mythological
"ALBANI, Francesco",Diana and Actaeon,painting,mythological
"ALBANI, Francesco",The Holy Family,painting,religious
"ALBANI, Francesco",The Holy Family in a Landscape,painting,religious
"ALBANI, Francesco",Holy Family,painting,religious
"ALBANI, Francesco",Venus Attended by Nymphs and Cupids,painting,mythological
"ALBANI, Francesco",The Toilet of Venus,painting,mythological
"ALBANI, Francesco",Toilet of Venus,painting,mythological
"ALBANI, Francesco",The Cupids Disarmed,painting,mythological
"ALBANI, Francesco",The Phaethon Legend,painting,mythological
"ALBANI, Francesco",The Phaethon Legend: Fall of Phaethon and Olympian Gods,painting,mythological
"ALBANI, Francesco",The Phaethon Legend: Neptune Taming Horses,painting,mythological
"ALBANI, Francesco","The Phaethon Legend: River Gods Eridanus, Heliades, and Cycnus",painting,mythological
"ALBANI, Francesco",The Phaethon Legend: Venus at her Toilet,painting,mythological
"ALBANI, Francesco",The Phaethon Legend: Lamenting Mother Earth,painting,mythological
"ALBANI, Francesco",The Phaethon Legend: Galatea on a Dolphin,painting,mythological
"ALBANI, Francesco","The Phaethon Legend: River Gods Eridanus, Heliades, and Cycnus (detail)",painting,mythological
"ALBEREGNO, Jacobello",Polyptych of the Apocalypse,painting,religious
"ALBEREGNO, Jacobello",Polyptych of the Apocalypse (central panel),painting,religious
"ALBEREGNO, Jacobello",The Harvest of the World,painting,religious
"ALBEREGNO, Jacobello",Triptych,painting,religious
"ALBERTI, Antonio",St John fresco cycle,painting,religious
"ALBERTI, Cherubino",The Cardinal Virtues,painting,religious
"ALBERTI, Giovanni",Ceiling decoration,painting,mythological
"ALBERTI, Leon Battista",Exterior view,painting,other
"ALBERTI, Leon Battista",Exterior view,painting,other
"ALBERTI, Leon Battista",Exterior view,painting,other
"ALBERTINELLI, Mariotto",Adoration of the Child with Angel,painting,religious
"ALBERTINELLI, Mariotto",Virgin and Child,painting,religious
"ALBERTINELLI, Mariotto",Virgin and Child,painting,religious
"ALBERTINELLI, Mariotto",Visitation,painting,religious
"ALBERTINELLI, Mariotto",Annunciation,painting,religious
"ALBERTINELLI, Mariotto",Birth of Christ,painting,religious
"ALBERTINELLI, Mariotto",Circumcision,painting,religious
"ALBERTINELLI, Mariotto",Visitation,painting,religious
"ALBOTTO, Francesco",View of Campo Santi Giovanni e Paolo,painting,landscape
"ALBOTTO, Francesco",San Giuseppe di Castello,painting,landscape
"ALCIBAR, José de",Portrait of María Anna Josefa Taking Vow,painting,portrait
"ALEKSANDROVIÆ, Ljubomir",Grape Harvest Girl,painting,genre
"ALEKSEYEV, Fyodor Yakovlevich",The Flood of 1824 in the Square at the Bolshoi Kamenny Theatre,painting,historical
"ALEKSEYEV, Fyodor Yakovlevich",Red Square in Moscow,painting,other
"ALEKSEYEV, Fyodor Yakovlevich",View of St. Petersburg,painting,landscape
"ALENZA Y NIETO, Leonardo",Portrait of an Architect,painting,portrait
