AUTHOR,TITLE,FORM,TYPE
"AMIGONI, Jacopo",Venus and Adonis,painting,mythological
"AMIGONI, Jacopo",Venus and Adonis (detail),painting,mythological
"AMIGONI, Jacopo",Venus and Adonis,painting,mythological
"AMIGONI, Jacopo",Bacchus and Ariadne,painting,mythological
"AMIGONI, Jacopo",Virgin and Child,painting,religious
"AMIGONI, Jacopo",Flora and Zephyr,painting,mythological
"ANCHER, Anna Kirstine","The Artist's Mother, Anna Hedvig Brøndum",painting,portrait
"ANCONA, Vito d'",Portrait of Gioacchino Rossini,painting,portrait
"ANDERSON, William",An English 3rd-Rate Ship of the Line in Three Positions,painting,landscape
"ANDERSON, William",Self-Portrait,painting,portrait
"ANDERSON, William",Shipping in a Calm Sea off the Coast,painting,landscape
"ANDERSON, William",Shipping on the Thames off Deptford,painting,landscape
ANDREA DA FIRENZE,"Bearing of the Cross, Crucifixion, Descent into Hell (north wall)",painting,religious
ANDREA DA FIRENZE,Crucifixion (detail),painting,religious
ANDREA DA FIRENZE,Crucifixion (detail),painting,religious
ANDREA DA FIRENZE,Crucifixion (detail),painting,religious
ANDREA DA FIRENZE,Bearing of the Cross,painting,religious
ANDREA DA FIRENZE,Bearing of the Cross (detail),painting,religious
ANDREA DA FIRENZE,Descent into Hell,painting,religious
ANDREA DA FIRENZE,Descent into Hell (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (east wall),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (east wall),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (east wall),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (east wall),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
