AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",The Three Marys at the Tomb (scene 23),1308-11,"Tempera on wood, 51 x 54 cm","Museo dell'Opera del Duomo, Siena",https://www.wga.hu/html/d/duccio/maesta/verso_2/verso23.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",The Three Marys at the Tomb (detail),1308-11,Tempera on wood,"Museo dell'Opera del Duomo, Siena",https://www.wga.hu/html/d/duccio/maesta/verso_2/verso23a.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",The Three Marys at the Tomb (detail),1308-11,"Tempera on wood, 51 x 54 cm","Museo dell'Opera del Duomo, Siena",https://www.wga.hu/html/d/duccio/maesta/verso_2/verso23b.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Christ in Limbo (scene 24),1308-11,"Tempera on wood, 51 x 54 cm","Museo dell'Opera del Duomo, Siena",https://www.wga.hu/html/d/duccio/maesta/verso_2/verso24.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Noli me tangere (scene 25),1308-11,"Tempera on wood, 51 x 57 cm","Museo dell'Opera del Duomo, Siena",https://www.wga.hu/html/d/duccio/maesta/verso_2/verso25.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Road to Emmaus (scene 26),1308-11,"Tempera on wood, 51 x 57 cm","Museo dell'Opera del Duomo, Siena",https://www.wga.hu/html/d/duccio/maesta/verso_2/verso26.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Rucellai Madonna,1285,"Tempera on wood, gold background, 450 x 290 cm","Galleria degli Uffizi, Florence",https://www.wga.hu/html/d/duccio/ruccelai/3ruccela.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Rucellai Madonna,c. 1285,"Tempera on wood, gold background, 450 x 290 cm","Galleria degli Uffizi, Florence",https://www.wga.hu/html/d/duccio/ruccelai/3ruccelb.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Rucellai Madonna (detail),1285,Tempera on wood,"Galleria degli Uffizi, Florence",https://www.wga.hu/html/d/duccio/ruccelai/3ruccelx.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Rucellai Madonna (detail),1285,Tempera on wood,"Galleria degli Uffizi, Florence",https://www.wga.hu/html/d/duccio/ruccelai/3ruccely.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Rucellai Madonna (detail),1285,Tempera on wood,"Galleria degli Uffizi, Florence",https://www.wga.hu/html/d/duccio/ruccelai/3ruccelz.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Rucellai Madonna (detail),1285,Tempera on wood,"Galleria degli Uffizi, Florence",https://www.wga.hu/html/d/duccio/ruccelai/4ruccel.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Rucellai Madonna (detail),1285,Tempera on wood,"Galleria degli Uffizi, Florence",https://www.wga.hu/html/d/duccio/ruccelai/4ruccela.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Rucellai Madonna (detail),1285,Tempera on wood,"Galleria degli Uffizi, Florence",https://www.wga.hu/html/d/duccio/ruccelai/4ruccelb.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Madonna and Child,1295-1305,"Tempera on wood, 67 x 48 cm","Museo d'Arte Sacra della Val d'Arbia, Buonconvento",https://www.wga.hu/html/d/duccio/various/1buoncon.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Madonna and Child (no. 593),1280s,"Tempera on wood, 63 x 49,5 cm","Pinacoteca Nazionale, Siena",https://www.wga.hu/html/d/duccio/various/21badia.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Gualino Madonna,after 1285,"Tempera on wood, 157 x 86 cm","Galleria Sabauda, Turin",https://www.wga.hu/html/d/duccio/various/22gualin.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Madonna and Child,1280s,"Tempera on wood, 68 x 47 cm","Chiesa dei Santi Lorenzo e Ippolito, Castelfiorentino",https://www.wga.hu/html/d/duccio/various/23castel.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Maestà,1280s,"Tempera on wood, 218 x 118 cm","Chiesa dei Servi, Bologna",https://www.wga.hu/html/d/duccio/various/24bologn.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Madonna with Child and Two Angels (Crevole Madonna),c. 1280,"Tempera on wood, 89 x 60 cm","Museo dell'Opera del Duomo, Siena",https://www.wga.hu/html/d/duccio/various/2crevola.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Madonna with Child and Two Angels (Crevole Madonna),1283-84,"Tempera on wood, 89 x 60 cm","Museo dell'Opera del Duomo, Siena",https://www.wga.hu/html/d/duccio/various/2crevole.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Crevole Madonna (detail),c. 1280,Tempera on wood,"Museo dell'Opera del Duomo, Siena",https://www.wga.hu/html/d/duccio/various/2crevolx.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Window,1288,"Stained-glass, diameter: 700 cm","Duomo, Siena",https://www.wga.hu/html/d/duccio/various/30window.html,glassware,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Window,1288,"Stained-glass, diameter: 700 cm","Duomo, Siena",https://www.wga.hu/html/d/duccio/various/31window.html,glassware,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Maestà,1288-1300,"Tempera on wood, 31,5 x 22,5 cm","Kunstmuseum, Bern",https://www.wga.hu/html/d/duccio/various/4bern.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Madonna and Child,1290s,"Tempera and gold on wood, 24 x 17 cm (without frame)","Metropolitan Museum of Art, New York",https://www.wga.hu/html/d/duccio/various/4metropo.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Madonna of the Franciscans,c. 1300,"Tempera on wood, 23,5 x 16 cm","Pinacoteca Nazionale, Siena",https://www.wga.hu/html/d/duccio/various/51franci.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Madonna of the Franciscans (detail),c. 1300,"Tempera on wood, 23,5 x 16 cm (full painting)","Pinacoteca Nazionale, Siena",https://www.wga.hu/html/d/duccio/various/52franci.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Madonna and Child with Six Angels,1300-05,"Tempera on wood, 97 x 63 cm","Galleria Nazionale dell'Umbria, Perugia",https://www.wga.hu/html/d/duccio/various/6perugi.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Madonna and Child with Six Angels,1304-08,"Tempera on wood, 97 x 63 cm","Galleria Nazionale dell'Umbria, Perugia",https://www.wga.hu/html/d/duccio/various/6perugia.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Polyptych No. 28,1300-05,"Tempera on wood, 143 x 242 cm","Pinacoteca Nazionale, Siena",https://www.wga.hu/html/d/duccio/various/7poly28.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Polyptych No. 28 (detail),1300-05,"Tempera on wood, 78 x 62 cm","Pinacoteca Nazionale, Siena",https://www.wga.hu/html/d/duccio/various/7poly28a.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Polyptych No. 28 (detail),1300-05,Tempera on wood,"Pinacoteca Nazionale, Siena",https://www.wga.hu/html/d/duccio/various/7poly28b.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Polyptych No. 28 (detail),1300-05,Tempera on wood,"Pinacoteca Nazionale, Siena",https://www.wga.hu/html/d/duccio/various/7poly28c.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Polyptych No. 28 (detail),1300-05,Tempera on wood,"Pinacoteca Nazionale, Siena",https://www.wga.hu/html/d/duccio/various/7poly28d.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Polyptych No. 28 (detail),1300-05,Tempera on wood,"Pinacoteca Nazionale, Siena",https://www.wga.hu/html/d/duccio/various/7poly28e.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Triptych,1312-15,"Tempera on wood, 61 x 78 cm","National Gallery, London",https://www.wga.hu/html/d/duccio/various/8london.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Triptych (closed),1312-15,Tempera on wood,"National Gallery, London",https://www.wga.hu/html/d/duccio/various/8london1.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Triptych (detail),1312-15,Tempera on wood,"National Gallery, London",https://www.wga.hu/html/d/duccio/various/8london2.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Triptych,1305-08,"Panel, 44,9 x 31,4 cm (centre); 44,8 x 16,9 cm (each wing)","Royal Collection, Windsor",https://www.wga.hu/html/d/duccio/various/8windsor.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Triptych,1311-18,Tempera on wood,"Museum of Fine Arts, Boston",https://www.wga.hu/html/d/duccio/various/9boston1.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Triptych (closed),1311-18,Tempera on wood,"Museum of Fine Arts, Boston",https://www.wga.hu/html/d/duccio/various/9boston2.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Crucifixion,1310s,"Panel, 60 x 38 cm","City Art Gallery, Manchester",https://www.wga.hu/html/d/duccio/various/9crucifi.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Polyptych No. 47,after 1310,"Tempera on wood, 184 x 257 cm","Pinacoteca Nazionale, Siena",https://www.wga.hu/html/d/duccio/various/zpoly_47.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Polyptych No. 47 (detail),after 1310,"Tempera on wood, 80 x 60 cm","Pinacoteca Nazionale, Siena",https://www.wga.hu/html/d/duccio/various/zpoly_47a.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Polyptych No. 47 (detail),after 1310,Tempera on wood,"Pinacoteca Nazionale, Siena",https://www.wga.hu/html/d/duccio/various/zpoly_47b.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Polyptych No. 47 (detail),after 1310,Tempera on wood,"Pinacoteca Nazionale, Siena",https://www.wga.hu/html/d/duccio/various/zpoly_47c.html,painting,religious,Italian,1301-1350
DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Polyptych No. 47 (detail),after 1310,Tempera on wood,"Pinacoteca Nazionale, Siena",https://www.wga.hu/html/d/duccio/various/zpoly_47d.html,painting,religious,Italian,1301-1350
"DUCHÉ DE VANCY, Gaspard",(1756-1788),Costumes of the inhabitants of Port des Francais in Lituya Bay,1786,Drawing,"British Museum, London",https://www.wga.hu/html/d/duche/lituya.html,graphics,other,French,1751-1800
"DUCHÉ DE VANCY, Gaspard",(1756-1788),The costumes of the inhabitants of Manila,1787,Engraving,-,https://www.wga.hu/html/d/duche/manila.html,graphics,other,French,1751-1800
"DUCHÉ DE VANCY, Gaspard",(1756-1788),The Entrance to the Blossac Park in Poitiers,c. 1780,"Watercolour, 360 x 560 mm","Bibliothèque Municipal, Poitiers",https://www.wga.hu/html/d/duche/poitiers.html,graphics,landscape,French,1751-1800
"DUCK, Jacob","(b. ca. 1600, Utrecht, d. 1667, Utrecht)",A Couple in an Interior with a Gypsy Fortune-Teller,1632-33,"Oil on wood, 25 x 33 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/html/d/duck/couple.html,painting,genre,Dutch,1601-1650
"DUCK, Jacob","(b. ca. 1600, Utrecht, d. 1667, Utrecht)",Dividing the Spoils,c. 1635,"Oil on panel, 46 x 74 cm",Private collection,https://www.wga.hu/html/d/duck/dividing.html,painting,genre,Dutch,1601-1650
"DUCK, Jacob","(b. ca. 1600, Utrecht, d. 1667, Utrecht)",A Guardroom Interior,c. 1630,"Oil on panel, 25 x 19 cm",Private collection,https://www.wga.hu/html/d/duck/guardint.html,painting,interior,Dutch,1601-1650
"DUCK, Jacob","(b. ca. 1600, Utrecht, d. 1667, Utrecht)",Guardroom with Soldiers Playing Cards,-,"Oil on canvas, 42,5 x 36,3 cm","Szépmûvészeti Múzeum, Budapest",https://www.wga.hu/html/d/duck/guardroo.html,painting,genre,Dutch,1601-1650
"DUCK, Jacob","(b. ca. 1600, Utrecht, d. 1667, Utrecht)",Guardroom Interior,c. 1635,"Oil on panel, 43 x 34 cm",Private collection,https://www.wga.hu/html/d/duck/guardrox.html,painting,interior,Dutch,1601-1650
"DUCK, Jacob","(b. ca. 1600, Utrecht, d. 1667, Utrecht)",Interior Scene,1658-62,"Oil on canvas laid down on panel, 57 x 47 cm",Private collection,https://www.wga.hu/html/d/duck/interior.html,painting,interior,Dutch,1601-1650
"DUCK, Jacob","(b. ca. 1600, Utrecht, d. 1667, Utrecht)",Interior Scene (detail),1658-62,"Oil on canvas laid down on panel, 57 x 47 cm",Private collection,https://www.wga.hu/html/d/duck/interiox.html,painting,interior,Dutch,1601-1650
"DUCK, Jacob","(b. ca. 1600, Utrecht, d. 1667, Utrecht)",Elegant Young Lady and Old Maid in an Interior,-,"Oil on oak panel, 34 x 28 cm",Private collection,https://www.wga.hu/html/d/duck/ladymaid.html,painting,genre,Dutch,1601-1650
"DUCK, Jacob","(b. ca. 1600, Utrecht, d. 1667, Utrecht)",Almsgiving in a Notary's Office,-,"Oil on panel, 37 x 52 cm",Private collection,https://www.wga.hu/html/d/duck/notary.html,painting,genre,Dutch,1601-1650
"DUCK, Jacob","(b. ca. 1600, Utrecht, d. 1667, Utrecht)",Almsgiving in a Notary's Office (detail),-,Oil on panel,Private collection,https://www.wga.hu/html/d/duck/notary1.html,painting,genre,Dutch,1601-1650
"DUCK, Jacob","(b. ca. 1600, Utrecht, d. 1667, Utrecht)",A Cavalier Selling His Goods,-,"Oil on panel, 29 x 22 cm",Private collection,https://www.wga.hu/html/d/duck/selling.html,painting,religious,Dutch,1601-1650
"DUCK, Jacob","(b. ca. 1600, Utrecht, d. 1667, Utrecht)",Bordello Scene with Sleeping Couple,1650s,"Oil on panel, 27x 21 cm",Private collection,https://www.wga.hu/html/d/duck/sleeping.html,painting,genre,Dutch,1601-1650
"DUCK, Jacob","(b. ca. 1600, Utrecht, d. 1667, Utrecht)",Soldier's Rest,1650s,"Oil on canvas, 150 x 204 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/d/duck/soldiers.html,painting,genre,Dutch,1601-1650
"DUCQ, Joseph-François","(b. 1762, Ledegem, d. 1829, Bruges)",Baron Charles-Louis de Keverberg de Kessel,1818,"Oil on canvas, 212 x 145 cm","Groeninge Museum, Bruges",https://www.wga.hu/html/d/ducq/kessel1.html,painting,portrait,Belgian,1801-1850
"DUCQ, Joseph-François","(b. 1762, Ledegem, d. 1829, Bruges)","Mary Lodge, Bride of Baron Charles-Louis de Keverberg de Kessel",1818,"Oil on canvas, 212 x 145 cm","Groeninge Museum, Bruges",https://www.wga.hu/html/d/ducq/kessel2.html,painting,portrait,Belgian,1801-1850
"DUCQ, Joseph-François","(b. 1762, Ledegem, d. 1829, Brugge)","Portrait of Colette Versavel, Wife of Isaac J. de Meyer",1822,"Oil on canvas, 145,5 x 109,5 cm","Museum voor Schone Kunsten, Ghent",https://www.wga.hu/html/d/ducq/versavel.html,painting,portrait,Belgian,1801-1850
"DUCREUX, Rose-Adélaide","(b. 1761, Paris, d. 1802, Santo Domingo)",Self-Portrait with a Harp,1791,"Oil on canvas, 193 x 129 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/html/d/ducreux/1selfpor.html,painting,portrait,French,1751-1800
"DUCREUX, Rose-Adélaide","(b. 1761, Paris, d. 1802, Santo Domingo)",Self-Portrait with a Harp (detail),1791,Oil on canvas,"Metropolitan Museum of Art, New York",https://www.wga.hu/html/d/ducreux/2selfpor.html,painting,portrait,French,1751-1800
"DUCREUX, Rose-Adélaide","(b. 1761, Paris, d. 1802, Santo Domingo)",Portrait of a Lady,1790s,"Oil on canvas, 194 x 128 cm",Private collection,https://www.wga.hu/html/d/ducreux/portlady.html,painting,portrait,French,1751-1800
"DUFRESNOY, Charles Alphonse","(b. 1611, Paris, d. 1668, Villiers-le-Bel)",Allegory of Painting,c. 1650,Oil on canvas,"Musée des Beaux-Arts, Dijon",https://www.wga.hu/html/d/dufresno/allegory.html,painting,mythological,French,1651-1700
"DUFRESNOY, Charles Alphonse","(b. 1611, Paris, d. 1668, Villiers-le-Bel)",Aeneas and Dido,-,"Oil on canvas, 155 x 196 cm","Muzeum Narodowe, Warsaw",https://www.wga.hu/html/d/dufresno/dido.html,painting,mythological,French,1651-1700
"DUFRESNOY, Charles Alphonse","(b. 1611, Paris, d. 1668, Villiers-le-Bel)",The Triumph of Galatea,-,"Oil on canvas, 112 x 98 cm",Private collection,https://www.wga.hu/html/d/dufresno/galatea.html,painting,mythological,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)",Landscape,1640-45,"Oil on canvas, 74 x 99 cm","Rijksmuseum, Amsterdam",https://www.wga.hu/html/d/dughet/a_landsc.html,painting,landscape,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)",Hall in the Appartamento Estivo,1673-74,Fresco,"Palazzo Colonna, Rome",https://www.wga.hu/html/d/dughet/colonna.html,painting,interior,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)",Country Landscape,1673-74,Fresco,"Palazzo Colonna, Rome",https://www.wga.hu/html/d/dughet/colonna1.html,painting,landscape,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)",Design for a Country Landscape with Wayfarers,c. 1667,"Black chalk on blue-gray paper, 428 x 367 mm","Crocker Art Museum, Sacramento",https://www.wga.hu/html/d/dughet/colonna2.html,graphics,study,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)",Heroic Landscape with Figures,-,"Oil on canvas, 112 x 153 cm","Residenzgalerie, Salzburg",https://www.wga.hu/html/d/dughet/h_landsc.html,painting,landscape,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)",Imaginary Landscape,1650s,"Oil on canvas, 48,5 x 63,5 cm","Szépmûvészeti Múzeum, Budapest",https://www.wga.hu/html/d/dughet/i_landsc.html,painting,landscape,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)",Italianate Landscape,-,"Oil on canvas, 58 x 82 cm",Private collection,https://www.wga.hu/html/d/dughet/italland.html,painting,landscape,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)",Landscape with Magdalen Worshipping the Cross,1660s,"Oil on canvas, 76 x 130 cm","Museo del Prado, Madrid",https://www.wga.hu/html/d/dughet/landmagd.html,painting,landscape,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)",Landscape with St Augustine and the Mystery,1651-53,"Oil on canvas, 278,5 x 385,5 cm","Galleria Doria Pamphilj, Rome",https://www.wga.hu/html/d/dughet/landscap.html,painting,landscape,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)",Landscape with St Jerome and the Lion,c. 1640,"Oil on canvas, 122 x 180 cm","Museum of Fine Arts, Boston",https://www.wga.hu/html/d/dughet/lanjerom.html,painting,landscape,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)",Landscape with Lightning,1667-69,"Oil on canvas, 40 x 63 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/d/dughet/lanlight.html,painting,landscape,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)",Rocky Roman Landscape with a Hilltop Town,-,"Oil on canvas, 35 x 50 cm",Private collection,https://www.wga.hu/html/d/dughet/rockylan.html,painting,landscape,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)",The Falls of Tivoli,c. 1661,"Oil on canvas, 99 x 82 cm","Wallace Collection, London",https://www.wga.hu/html/d/dughet/tivoli1.html,painting,landscape,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)",View of Tivoli,-,"Oil on canvas, 31 x 46,5 cm","Molinari Pradelli Collection, Bologna",https://www.wga.hu/html/d/dughet/tivoli2.html,painting,landscape,French,1651-1700
"DUGHET, Gaspard","(b. 1615, Roma, d. 1675, Roma)","A View of Tivoli, with the Teverone Flowing Beneath",-,"Oil on canvas, 75 x 100 cm",Private collection,https://www.wga.hu/html/d/dughet/tivoli3.html,painting,landscape,French,1651-1700
"DUGONI, Antonio","(b. 1827, Cividale, d. 1874, Friuli)",Portrait of Vittorio Emanuele II,1866,"Oil on canvas, 142 x 80 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/html/d/dugoni/portrait.html,painting,portrait,Italian,1851-1900
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",Italian Landscape with a Young Shepherd,1660-62,"Oil on panel, 31 x 38 cm","Mauritshuis, The Hague",https://www.wga.hu/html/d/dujardin/1young_s.html,painting,landscape,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",St Paul Healing the Cripple at Lystra,1663,"Oil on canvas, 179 x 139 cm","Rijksmuseum, Amsterdam",https://www.wga.hu/html/d/dujardin/2healing.html,painting,religious,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",St Paul Healing the Cripple at Lystra (detail),1663,Oil on canvas,"Rijksmuseum, Amsterdam",https://www.wga.hu/html/d/dujardin/2healinx.html,painting,religious,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",The Conversion of Paul,1662,"Oil on canvas, 187 x 135 cm","National Gallery, London",https://www.wga.hu/html/d/dujardin/3convers.html,painting,religious,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",The Battle of Centaurs and Lapiths at Hippodamia's Wedding,1667,"Oil on canvas, 177 x 139 cm","Schloss Sanssouci, Potsdam",https://www.wga.hu/html/d/dujardin/4battle.html,painting,mythological,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",Allegory,1663,"Oil on canvas, 116 x 97 cm","Statens Museum for Kunst, Copenhagen",https://www.wga.hu/html/d/dujardin/allegory.html,painting,mythological,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",Calvary,1661,"Oil on canvas, 97 x 84 cm","Musée du Louvre, Paris",https://www.wga.hu/html/d/dujardin/calavary.html,painting,religious,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",Italian Comedians,1657,"Oil on canvas, 44 x 52 cm","Musée du Louvre, Paris",https://www.wga.hu/html/d/dujardin/comedian.html,painting,genre,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",Cows and Sheep at a Stream,1655-56,"Oil on canvas, 52 x 43 cm","Musée du Louvre, Paris",https://www.wga.hu/html/d/dujardin/cowsheep.html,painting,landscape,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",Hagar and Ishmael in the Wilderness,c. 1662,"Oil on canvas, 187 x 143 cm","Ringling Museum of Art, Sarasota",https://www.wga.hu/html/d/dujardin/hagar.html,painting,religious,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",Horseman Holding a Roemer,c. 1658,"Oil on canvas, 34 x 44 cm",Private collection,https://www.wga.hu/html/d/dujardin/horseman.html,painting,genre,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",Italian Landscape with Herdsman and a Piebald Horse,c. 1675,"Oil on wood, 32 x 27 cm","Musée du Louvre, Paris",https://www.wga.hu/html/d/dujardin/itali_la.html,painting,landscape,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",Italianate Landscape with Travellers on Horseback,c. 1675,"Oil on canvas, 65 x 81 cm",Private collection,https://www.wga.hu/html/d/dujardin/italiana.html,painting,landscape,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",Italian Landscape with Elegant Riders and Fishermen,c. 1675,"Oil on canvas, 54 x 70 cm","Akademie der bildenden Künste, Vienna",https://www.wga.hu/html/d/dujardin/italland.html,painting,landscape,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",Landscape in the Roman Campagna,1675,"Oil on canvas, 85 x 107 cm","Koninklijk Museum voor Schone Kunsten, Antwerp",https://www.wga.hu/html/d/dujardin/land_cam.html,painting,landscape,Dutch,1651-1700
"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",Landscape with Cattle,1650s,"Oil on canvas, 37 x 43 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/d/dujardin/land_cat.html,painting,landscape,Dutch,1651-1700
